date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2019-06-20,sh.000001,2917.3310,2997.3880,2915.0890,2987.1180,2917.8020,29101153792,288296546304.0000,3,0.852394,1,2.375600,0.000000,0.000000,0.000000,0.000000,0
2019-06-21,sh.000001,2990.3680,3010.3490,2989.2450,3001.9800,2987.1180,28697383424,276662460416.0000,3,0.840151,1,0.497500,0.000000,0.000000,0.000000,0.000000,0
2019-06-24,sh.000001,3004.2890,3012.8260,2994.4210,3008.1470,3001.9800,21049389312,211237183488.0000,3,0.615813,1,0.205400,0.000000,0.000000,0.000000,0.000000,0
2019-06-25,sh.000001,3004.9090,3004.9090,2948.9900,2982.0730,3008.1470,24369924352,244315078656.0000,3,0.713330,1,-0.866800,0.000000,0.000000,0.000000,0.000000,0
2019-06-26,sh.000001,2964.6150,2986.9130,2958.4630,2976.2830,2982.0730,17444953344,172516057088.0000,3,0.510571,1,-0.194200,0.000000,0.000000,0.000000,0.000000,0
2019-06-27,sh.000001,2982.6120,3011.5380,2981.0450,2996.7920,2976.2830,19539704832,208618647552.0000,3,0.571849,1,0.689100,0.000000,0.000000,0.000000,0.000000,0
2019-06-28,sh.000001,2992.2420,2992.2420,2961.2220,2978.8780,2996.7920,18143152384,183641767936.0000,3,0.530760,1,-0.597800,0.000000,0.000000,0.000000,0.000000,0
2019-07-01,sh.000001,3024.6230,3045.3660,3014.6870,3044.9020,2978.8780,25084043264,266541056000.0000,3,0.733441,1,2.216400,0.000000,0.000000,0.000000,0.000000,0
2019-07-02,sh.000001,3042.5800,3048.4830,3033.7800,3043.9420,3044.9020,21452062464,229566615552.0000,3,0.627136,1,-0.031500,0.000000,0.000000,0.000000,0.000000,0
2019-07-03,sh.000001,3031.8320,3031.8320,3006.3240,3015.2630,3043.9420,21229617408,218657992704.0000,3,0.620579,1,-0.942200,0.000000,0.000000,0.000000,0.000000,0
2019-07-04,sh.000001,3015.6780,3024.5020,2991.9070,3005.2480,3015.2630,19441513216,202266390528.0000,3,0.568033,1,-0.332100,0.000000,0.000000,0.000000,0.000000,0
2019-07-05,sh.000001,3004.7380,3014.8470,2990.9240,3011.0580,3005.2480,15675542784,163180843008.0000,3,0.457997,1,0.193300,0.000000,0.000000,0.000000,0.000000,0
